"","Product","TitleOfReview","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Wonderful for the price, good upgrade from chu","Jimmy Mahjong","Verified Purchase","Reviewed in Australia on 23 February 2024","4.5 out of 5 stars","        Very well tuned and an overall improvement from the first generation chu, to my ears.Moondrop has bumped the bass and smoothed out the treble, resolving the slightly metallic timbre of the first gen chu. I never had an issue with the amount of bass on the originals, but a lot of people did, this should fix that.These are now what I would describe as a slightly v-shaped sound signature, but it certainly still manages to remain articulate and engaging, very fun!Vocals are still a strong point, albeit maybe very slightly recessed compared to other Moondrop products (non issue), bass and slam is well controlled and treble has nice sparkle.No more spring tips included, just the standard Moondrop tips, and the nozzle now screws off allowing you to easily replace the filter. Moondrop filters are known to clog up with condensation/moisture resulting in channel imbalance, but I have yet to have this issue with any of my Moondrop iems, maybe I’m just lucky, maybe it’s worse in humid climates.If you do encounter this issue I believe either sucking on it lightly (seriously) or replacing/cleaning the filter will work to fix it for the time being.They also fit great in the ear. Like the chu 1, they’re small and don’t interfere, but don’t sit as flat as something like the Aria would.Remember, these are less than $30, have removable cables (a nice one too, imo), sound good. They make a great gift, too.  "
"2","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","The sound quality isn't what I expected.","Dostum","Verified Purchase","Reviewed in Australia on 23 January 2024","5.0 out of 5 stars","        I use these to play maimai at the arcade, and the natural sound isolation is just a good level for me to just hear the button clacking noise but also isolate other background sound, quality is excellent too!  "
"3","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Wonderful for the price, good upgrade from chu","Jimmy Mahjong","Verified Purchase","Reviewed in Australia on 23 February 2024","2.0 out of 5 stars","        This IEM is amazing for the price. The casing is metal , comes with a pouch and a detachable cable. The sound quality is V shaped. For a single dynamic driver that’s under $30 AUD. Why would you bother paying for an audiophile IEM that’s $800, when the chu 2 has about 95% of the sound clarity and imaging. Just nuts for the price.  "
"4","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Wonderful for the price, good upgrade from chu","Jimmy Mahjong","Verified Purchase","Reviewed in Australia on 4 February 2024","5.0 out of 5 stars","        These are actually really good for the money even sound better than 500 dollar pairs  that I own great sound value for money fast delivery aswell highly recommend  "
"5","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Fantastic experience","Amazon Customer","Verified Purchase","Reviewed in Australia on 16 March 2024","5.0 out of 5 stars","        The Chu II is a huge improvement on the original Chu, in both design and sound quality.  "
"6","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","It’s so good. It should be worth $800 AUD.","Ozboyblu","Verified Purchase","Reviewed in Australia on 5 October 2023","5.0 out of 5 stars","        Moondrop made another great iem here with a bit more punch than the first ones. Can recommend  "
"7","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","It’s so good. It should be worth $800 AUD.","Ozboyblu","Verified Purchase","Reviewed in Australia on 21 August 2023","5.0 out of 5 stars","        Got it the other day and it's very goodGood sound and buildSo far no problomsWill update if anything changes  "
"8","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Great sound","KimH ","Verified Purchase","Reviewed in Australia on 5 October 2023","5.0 out of 5 stars","        My daily driver on the go as I don’t need to worry losing since so cheap  "
"9","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Easily one of the best IEM's you can get under $30 right now","Audio Reviews Downunder","Verified Purchase","Reviewed in Australia on 18 July 2023","5.0 out of 5 stars","        I will be comparing these Chu 2s ($19) to the original Chu's ($20-22), the Tanchjim Zero's ($15-16), and my Gen 2 Airpod Pros ($200-250). I wouldn't call myself an audiophile, but I do enjoy hunting for great affordable sound under $40 and comparing the results. I tend to prefer headphones that have a more flat and balanced sound, in short nothing that has too much added bass.THE SOUND QUALITY:The highs and mids sound on par with the original Chu's and the Zeros (which I found traded blows in sound quality, I couldn't crown one better than the other). Vocals and instruments in that range are very clean, clear, and pleasant. Where these differentiate from its predecessors are in the bass and lows. The sound feels more impactful while not being overbearing or muddy. It has a little more flavor than a balanced flat sound signature but it doesn't overdo the lows. The original Chu's and the Zeros can feel a little lifeless on bass-heavy/prominent songs so I would tend to switch to my AirPods when listening to those types of songs. With the Chu 2s I don't feel that need. The bass feels on par with the Airpod Pros 2 (which is fairly clean) while the highs and mids sound better and clearer in my opinion. The bass sound profile isn't exactly the same as the AirPods, but the difference is too small for me to be able to put into words how they differ.Overall, if I want to use a pair of headphones with the best sound quality capable of listening to any genre of music then I would use the Chu 2s over my daily driver Airpods Pro Gen 2. Otherwise, if I specifically want to decrease the emphasis on the bass for a particular song then I may switch to the Zero's or original Chu's.THE TIPSPersonally, I prefer the white Spring Tips ($13 after market for a single size) that come with the Original Chu's. They are slightly more comfortable and way easier to remove than the ones included with the Chu 2s. The Chu 2s tips are nothing special. They are not bad, but they aren't note worthy either. The Zero's come with similar tips to the Chu 2s, but with way more options in terms of shape and size. You are pretty much guaranteed to find a size that fits well if you get the Zero's. The Zeros also have various size diameters in the hole which I assume is to achieve different sound signatures, but my ears are not sensitive enough to pick up on any changes. I included an image that showcases all the tips included with each pair.THE CABLE AND FITThe Chu 2s win this hands down in my opinion. First off its removable so its easy to replace. It also has a firm soft plastic around where it grips on your ear which makes it obvious on how these are meant to be worn and are quite comfortable. This cable helps negate the downgrade in the tips. It comes with a right angle audio jack. If that doesn't work for your device then you can always swap the cable.The original Chu's had a comfortable fit without the included rubber guide, but selecting the microphone option definitely degraded the comfort for me. The rubber used on the cable could be a little unrully at times. This also has a right angle audio jack.The Zeros are the lightest being all plastic and thus take a little longer to put on properly in a way that comfortable (they also lack an L+R indicator which doesn't help the process). This is the only option with a thin straight audio jack so it will work will if you need to plug it into a recessed port. This product definitely feels the cheapest (which it is by 20-25%) out of the three, but I wouldn't call it bad.REPAIRABLITYBoth the Chu and the Chu 2 have filters that can be replaced. You can tell they need to be replaced if the audio becomes quieter in one ear. A replacement set of filters will run you around $5. The Chu 2s also have the replaceable cable which makes them the clear winner in this category.TLDRAll the IEMs listed are excellent in this price bracket and hit well above their weight. The Chu 2s are the most versatile and sound great with any genre of music and are also the most repairable.  "
"10","JBL Wave Flex True Wireless Stereo Earbuds, Black  ","Easily one of the best IEM's you can get under $30 right now","Audio Reviews Downunder","Verified Purchase","Reviewed in Singapore on 23 September 2023","5.0 out of 5 stars","        To get my background of out the way, I am in no way an expert in sound and this review is purely from a guy that dabbles a bit in different headsets and earphones and enjoys a good pair of cans. I am currently rocking philips fidelio x3, not the best but also far from a cheap headphone, as well as samsung earbuds pro and i've tested different headsets throughout my years, even really expensive ones at the airport :D. I enjoy a fun sound signature and also love me some ear vibrating bass.  This is my first time trying an IEM.With that out of the way, oh my god these IEMs are fantastic. This is as I said my first pair that I got and just wanted to have some earphones that sound fine when i'm at my laptop or travel somewhere. Their sound is fantastic, good soundstage where you can seperate all the different elements, super clear and very well tuned WHILE having a ear vibrating bass. The bass is awesome and right up my alley for the music I listen to. It manages to feed my above average hunger for bass while at the same time keeping the mids and the highs clean, separatable and just as good as the bass. The bass also has great separation and doesn't sound muddy and doesn't overwhelming the other frequencies at all. To keep it short, if you told me that these cost 100-200 euro, I would not be mad at all and probably still consider buying them. The fact that these are only 20 ish euro, makes it an insta buy in my opinion. As this is my first IEM, I can't really speak for the rest of the market, im sure there are better IEMs out there, but 20 euros is seriously a laughable price for this good sound quality.If you are on the fence on buying these, and also enjoy bass while wanting the rest to be clear and crisp and separatable, then I would strongly recommend buying these, you won't be disappointed. These really blew it out the water.  "
